名稱,別名
一花, 
三千留, 
三森(泳裝), 水三森
三森, 
乃愛, 諾亞
亞伽里(正月), 羊車
亞伽里(正月), 春WTM
亞伽里, WTM
亞子(禮服), 禮亞
亞子, 
亞瑠(正月), 春魯
亞瑠(禮服), 禮魯
亞瑠, 阿魯
亞都梨(應援團), 拉拉鳥
亞都梨, 小鳥
亞都梨, 小鳥盾
伊吹, 
伊呂波, 168
伊樹菜(泳裝), 水忍
伊樹菜(泳裝), 水忍忍
伊樹菜, 忍忍
伊織(泳裝), 水伊織
伊織, 
佐天涙子, 
佳世子(正月), 春佳
佳世子(禮服), 禮佳
佳世子, 成年人
佳澄, 
佳穗, 
優香(體育服), 體香
優香, U卡
初音未來, 初音 
千夏(溫泉), 溫千夏
千夏, 
千尋, 
千紗(樂團), 樂團貓
千紗, 甜點貓
吹雪(泳裝), 水吹雪
吹雪, 甜甜圈
和香(溫泉), 老闆娘
和香, 
咲希(泳裝), 水咲
咲希, 
喜美(樂團), 樂喜美
喜美, 
堇, 
夏, 小夏
季(兔女郎), 兔時
季, 時
實里, 工頭
寧瑠(兔女郎), 紅兔
寧瑠, 尼祿
小春(泳裝), 水小春
小春, 
小玉(露營), 露營玉
小玉, 
小雪, 
弦生(泳裝), 水弦生
弦生, 顏藝
彌香, 咪卡
御坂美琴, 美琴
心菜, 11歲
惠, 噴火槍
愛瑠, 
愛莉(樂團), 樂愛莉
愛莉, 冰淇淋
愛麗絲(女僕), 女僕愛
愛麗絲
憂(泳裝), 水憂
憂, 
敦子(泳裝), 水公主
敦子, 公主
日向(泳裝), 水日向
日向, 
日和(泳裝), 水日和
日和, 
日步美(泳裝), 水日富美
日步美, 日富美
日步美, 浮士德
旬(幼女), 小旬
旬(幼女), 幼旬
旬, 大旬
明日奈(兔女郎), 藍兔
明日奈, 
星野(泳裝), 水大叔
星野(臨戰), 臨戰叔
星野, 大叔
時雨(溫泉), 溫時雨
時雨, 
晴(露營), 番薯
晴(露營), 地瓜
晴(露營), 露營晴
晴, 
智惠(旗袍), 旗袍智惠
智惠, 
智美子, 圖書館妹
月夜, 
朱音(兔女郎), 白兔
朱音, 女僕
柚子(女僕), 女僕柚
柚子, 
桃井(女僕), 女僕桃
桃井, 小桃
桐乃(泳裝), 水桐乃
桐乃, 
桔梗, 
梓(泳裝), 水梓
梓, 
椿(導覽員), 導遊椿
椿, 
楓, 
櫻子, 覺悟
沙織(泳裝), 水沙織
沙織, 
沙耶(私服), 私服鼠
沙耶, 老鼠
泉(泳裝), 水漢堡
泉, 漢堡
海花, 
淳子(正月), 春淳子
淳子, 
渚, 
潔莉諾(溫泉), 溫鬍子
潔莉諾, 鬍子
澪紗, 芋泥
瀬奈, 救護車
無月(正月), 春月
無月, 睦月
瑠美, 
瑪麗(體育服), 體瑪麗
瑪麗(體育服), 體瑪莉
瑪麗(體育服), 體瑪
瑪麗(偶像), 偶瑪麗
瑪麗(偶像), 偶瑪
瑪麗, 瑪莉
瑪麗娜(旗袍), 旗袍阿姨
瑪麗娜, 阿姨
環奈(泳裝), 水局長
環奈, 局長
白子(單車), 車白
白子(泳裝), 水白
白子(泳裝), 水白子
白子, 
白子＊恐怖, 黑子
真琴, 猴王
真紀, 塗鴉
知世(泳裝), 水知世
知世, 
紅葉, 
紫, 
綠(女僕), 女僕綠
綠, 小綠
綺羅羅, 辣妹
綾音(泳裝), 直升機
綾音, 
美優(泳裝), 水美優
美優, 垃圾兔
美咲, 
美奈, 發哥
美禰, 團長
羽留奈(正月), 春奈
羽留奈(體育服), 體奈
羽留奈, 
花凛(兔女郎), 黑兔
花凛, 
花子(泳裝), 水花
花子(泳裝), 水花子
花子, 
花繪(聖誕節), 聖大護
花繪(聖誕節), 聖花繪
花繪, 大護士
芹奈(聖誕節), 聖小護
芹奈(聖誕節), 聖芹奈
芹奈, 小護士
若藻(泳裝), 水藻
若藻, 
英美(泳裝), 水英美
英美, 
茜香(正月), 春黑貓
茜香(泳裝), 水黑貓
茜香, 黑貓
茱莉, 
菲娜, 
萌(泳裝), 水萌
萌, 
蓮實(體育服), 體蓮實
蓮實, 
蓮華, 
詠葉(應援團), 拉拉詠
詠葉, 砲台
詠葉, 炮台
遙香(正月), 春遙
遙香, 
都子(泳裝), 水兔
都子(泳裝), 水宮子
都子, 宮子
野乃美(泳裝), 水富婆
野乃美, 富婆
鈴美, 閃光彈
陽奈(泳裝), 水陽奈
陽奈(禮服), 禮奈
陽奈, 
陽葵, 輪椅
靜子(泳裝), 水靜
靜子(泳裝), 水靜子
靜子, 
響(應援團), 拉拉響
響, 
風華(正月), 飯婆
風華, 
食蜂操祈, 
麻白(泳裝), 水麻白
麻白, 
妃姬, 門主
